Title,Ratings
The Little Mermaid(2023)1(no change),7.2
Spider-Man: Across the Spider-Verse(2023)2(21),9.0
John Wick: Chapter 4(2023)3(2),7.9
Barbie(2023)4(8),
Fast X(2023)5(3),6.1
Guardians of the Galaxy Vol. 3(2023)6(3),8.2
Dungeons & Dragons: Honor Among Thieves(2023)7(1),7.3
The Super Mario Bros. Movie(2023)8(1),7.2
The Flash(2023)9(1),
Killers of the Flower Moon(2023)10(6),9.4
The Machine(2023)11(7),6.5
Air(2023)12(3),7.5
Hypnotic(2023)13(48),5.4
Blood & Gold(2023)14(81),6.5
Spider-Man: Into the Spider-Verse(2018)15(71),8.4
Shazam! Fury of the Gods(2023)16(3),6.0
Ant-Man and the Wasp: Quantumania(2023)17(9),6.1
Reality(2023)18(365),6.7
The Covenant(2023)19(3),7.5
The Boogeyman(2023)20(50),6.1
Sisu(2022)21(10),7.0
Asteroid City(2023)22(1),6.9
Oppenheimer(2023)23(4),
No Hard Feelings(2023)24(10),
Indiana Jones and the Dial of Destiny(2023)25(11),
Evil Dead Rise(2023)26(9),6.7
Transformers: Rise of the Beasts(2023)27(4),6.6
A Man Called Otto(2022)28(8),7.5
The Mother(2023)29(16),5.6
Teenage Mutant Ninja Turtles: Mutant Mayhem(2023)30(190),
Tin & Tina(2023)31(156),4.7
The Black Demon(2023)32(637),3.7
To Catch a Killer(2023)33(7),6.5
Missing(2023)34(5),7.1
The Little Mermaid(1989)35(44),7.6
About My Father(2023)36(11),6.1
White Men Can't Jump(2023)37(22),4.9
X(2022)38(1),6.6
Kandahar(2023)39(6),6.2
Five Nights at Freddy's(2023)40(18),
Top Gun: Maverick(2022)41(9),8.3
Old(2021)42(84),5.8
Fool's Paradise(2023)43(176),4.8
"Anatomy of a Fall(2023)44(1,295)",7.6
BlackBerry(2023)45(9),7.5
The Son(2022)46(7),6.3
F9: The Fast Saga(2021)47(17),5.2
Scream VI(2023)48(12),6.6
The Whale(2022)49(39),7.7
Avatar: The Way of Water(2022)50(2),7.7
Influencer(2022)51(121),6.1
"The Year I Started Masturbating(2022)52(1,242)",5.2
The Godfather(1972)53(5),9.2
Renfield(2023)54(16),6.4
65(2023)55(9),5.4
Everything Everywhere All at Once(2022)56(no change),7.8
Beau Is Afraid(2023)57(25),7.1
The Shawshank Redemption(1994)58(10),9.3
Guardians of the Galaxy(2014)59(15),8.0
You Hurt My Feelings(2023)60(38),7.2
Ghosted(2023)61(16),5.8
Mission: Impossible - Dead Reckoning Part One(2023)62(37),
The Zone of Interest(2023)63(10),8.1
Elemental(2023)64(65),6.5
The Pope's Exorcist(2023)65(22),6.1
Expend4bles(2023)66(64),
"A Beautiful Life(2023)67(6,661)",6.4
John Wick(2014)68(1),7.4
Three Thousand Years of Longing(2022)69(71),6.7
Peter Pan & Wendy(2023)70(10),4.4
Bullet Train(2022)71(5),7.3
Girl in the Basement(2021)72(6),6.3
Indiana Jones and the Raiders of the Lost Ark(1981)73(84),8.4
Interstellar(2014)74(7),8.7
The Fast and the Furious(2001)75(35),6.8
Harry Potter and the Sorcerer's Stone(2001)76(4),7.6
The Menu(2022)77(15),7.2
Cocaine Bear(2023)78(5),6.0
Heat(1995)79(22),8.3
Dune(2021)80(14),8.0
Babylon(2022)81(4),7.2
Book Club: The Next Chapter(2023)82(24),5.6
Hard Feelings(2023)83(32),4.7
Spider-Man: No Way Home(2021)84(26),8.2
Shazam!(2019)85(48),7.0
Triangle of Sadness(2022)86(4),7.3
Operation Fortune: Ruse de Guerre(2023)87(6),6.3
"Spider-Man: Beyond the Spider-Verse(2024)88(1,810)",
Malum(2023)89(116),5.2
About Dry Grasses(2023)90(74),8.2
Goodfellas(1990)91(92),8.7
The Fabelmans(2022)92(4),7.6
Pearl(2022)93(10),7.0
Dune: Part Two(2023)94(19),
The Batman(2022)95(9),7.8
Fall(2022)96(5),6.4
Guardians of the Galaxy Vol. 2(2017)97(20),7.6
The Wolf of Wall Street(2013)98(7),8.2
Love Again(2023)99(64),5.8
Nefarious(2023)100(1),6.3
